,ID WMO,:  96783,,,,KETERANGAN:,,,
,NAMA STASIUN,:  Stasiun Geofisika Bandung,,,,8888: Data tidak terukur,,,
,LINTANG,:  -6.88356,,,,9999: Tidak Ada Data (tidak dilakukan pengukuran),,,
,BUJUR,:  107.59733,,,,Tavg: Temperatur rata-rata(°C),,,
,ELEVASI,:  791 Meter,,,,RH_avg: Kelembapan rata-rata(%),,,
,,,,,,RR: Curah hujan(mm),,,
,,,,,,ff_avg: Kecepatan angin rata-rata(m/s),,,
TANGGAL,TAVG,RH_AVG,RR,FF_AVG,,,,,
04-01-2024,22.5,91,1.6,0,,,,,
05-01-2024,23.9,82,32.5,0,,,,,
06-01-2024,23.4,87,22.5,0,,,,,
07-01-2024,22.8,90,9.3,0,,,,,
08-01-2024,23.8,85,37.2,0,,,,,
09-01-2024,23.5,86,2.8,0,,,,,
10-01-2024,23.6,88,14.3,0,,,,,
11-01-2024,22.9,91,61.7,0,,,,,
12-01-2024,24.5,76,49.3,0,,,,,
13-01-2024,24.7,76,,0,,,,,
14-01-2024,25.6,74,0,1,,,,,
15-01-2024,25.4,75,0,0,,,,,
16-01-2024,25.9,70,8888,1,,,,,
17-01-2024,24.9,76,,2,,,,,
18-01-2024,24,79,1.9,1,,,,,
19-01-2024,22.7,82,15,1,,,,,
20-01-2024,24.5,71,5.3,1,,,,,
21-01-2024,24.7,75,0.3,1,,,,,
22-01-2024,24.4,75,11.6,2,,,,,
23-01-2024,24.5,77,2.5,0,,,,,
24-01-2024,24.2,77,5.1,1,,,,,
25-01-2024,26,70,4.5,1,,,,,
26-01-2024,25.4,74,0.3,1,,,,,
27-01-2024,25.3,75,0.6,1,,,,,
28-01-2024,25.4,74,,2,,,,,
29-01-2024,24.7,78,0,1,,,,,
30-01-2024,24.8,80,0.3,2,,,,,
31-01-2024,23.5,85,2.6,1,,,,,
01-02-2024,24.2,81,10.8,1,,,,,
02-02-2024,24.7,80,5.6,1,,,,,
03-02-2024,24,80,17.4,1,,,,,
04-02-2024,24.4,76,0,1,,,,,
05-02-2024,24.4,79,0.2,1,,,,,
06-02-2024,23.5,78,3.6,1,,,,,
07-02-2024,23.6,78,0.8,1,,,,,
08-02-2024,25.7,72,0.5,1,,,,,
09-02-2024,25.9,74,0,0,,,,,
10-02-2024,24.3,82,8888,1,,,,,
11-02-2024,24.7,79,9,1,,,,,
12-02-2024,25.5,74,1.2,1,,,,,
13-02-2024,25.5,74,8888,1,,,,,
14-02-2024,24.5,83,0,0,,,,,
15-02-2024,23.6,86,2.8,0,,,,,
16-02-2024,24,86,46.4,0,,,,,
17-02-2024,23.9,87,7.3,0,,,,,
18-02-2024,23.7,85,18.6,1,,,,,
19-02-2024,24.5,84,26.3,0,,,,,
20-02-2024,24.9,83,5.5,0,,,,,
21-02-2024,24.5,81,10.9,1,,,,,
22-02-2024,25.5,74,13,1,,,,,
23-02-2024,25.6,75,6.5,1,,,,,
24-02-2024,24.6,83,5.4,1,,,,,
25-02-2024,23.8,85,29,0,,,,,
26-02-2024,25.4,78,4.5,1,,,,,
27-02-2024,24.9,82,0.2,0,,,,,
28-02-2024,23.9,87,29.3,0,,,,,
29-02-2024,24.7,83,8.2,1,,,,,
01-03-2024,24.5,83,8888,1,,,,,
02-03-2024,24.3,83,27.8,1,,,,,
03-03-2024,24.6,80,4.8,1,,,,,
04-03-2024,24.7,81,0.2,0,,,,,
05-03-2024,24.7,85,4.8,1,,,,,
06-03-2024,24.5,88,11.1,0,,,,,
07-03-2024,24.6,85,20.2,0,,,,,
08-03-2024,25.1,76,1.3,2,,,,,
09-03-2024,22.6,84,5.2,1,,,,,
10-03-2024,24.5,80,2.9,0,,,,,
11-03-2024,24.1,81,0.4,2,,,,,
12-03-2024,24.4,74,9,2,,,,,
13-03-2024,23.8,83,0.3,1,,,,,
14-03-2024,22.3,88,4.9,1,,,,,
15-03-2024,23.2,81,26.7,1,,,,,
16-03-2024,23.7,80,11.1,1,,,,,
17-03-2024,23,82,3.2,1,,,,,
